<http://zbw.eu/stw/descriptor/18803-0>	Public institution
<http://zbw.eu/stw/descriptor/14004-1>	Authors
<http://zbw.eu/stw/thsys/70040>	B.07.03  Pricing strategy
<http://zbw.eu/stw/descriptor/16324-1>	Regional government
<http://zbw.eu/stw/descriptor/10685-6>	Import quotas
<http://zbw.eu/stw/descriptor/19142-6>	Balancing accounts
<http://zbw.eu/stw/thsys/71029>	W.01.01  Crop production
<http://zbw.eu/stw/descriptor/16676-5>	Addiction
<http://zbw.eu/stw/descriptor/15696-4>	Middle Ages
<http://zbw.eu/stw/thsys/189012>	G.06.01  Organizations for economic cooperation
<http://zbw.eu/stw/descriptor/16012-6>	Broadcasting law
<http://zbw.eu/stw/descriptor/10801-2>	Euromarkets
<http://zbw.eu/stw/descriptor/18310-2>	Mesoeconomics
<http://zbw.eu/stw/descriptor/18780-0>	Institute of economic research
<http://zbw.eu/stw/descriptor/10872-0>	Import sector
<http://zbw.eu/stw/descriptor/18030-1>	Industrial accident
<http://zbw.eu/stw/descriptor/30026-6>	Crowdfunding
<http://zbw.eu/stw/descriptor/15135-2>	Census
<http://zbw.eu/stw/descriptor/13709-3>	Bond fund
<http://zbw.eu/stw/descriptor/12153-1>	Profit center
<http://zbw.eu/stw/descriptor/29592-4>	Competitive analysis
<http://zbw.eu/stw/descriptor/12529-3>	Gross margin
<http://zbw.eu/stw/descriptor/30174-5>	Underpricing
<http://zbw.eu/stw/descriptor/16968-6>	Nidwalden
<http://zbw.eu/stw/descriptor/13364-4>	Theatre
<http://zbw.eu/stw/descriptor/11441-1>	Financial product
<http://zbw.eu/stw/descriptor/12818-3>	Sales promotion
<http://zbw.eu/stw/thsys/70368>	B.05.01  Procurement
<http://zbw.eu/stw/descriptor/18060-6>	Deindustrialization
<http://zbw.eu/stw/descriptor/13019-0>	Nonmetallic minerals industry
<http://zbw.eu/stw/descriptor/10144-5>	Microeconomics
<http://zbw.eu/stw/descriptor/11610-4>	Municipal debt
<http://zbw.eu/stw/descriptor/11661-1>	Indirect taxation
<http://zbw.eu/stw/descriptor/13674-3>	Broadband communications
<http://zbw.eu/stw/descriptor/16489-4>	Foreign policy
<http://zbw.eu/stw/descriptor/17709-4>	Liberia
<http://zbw.eu/stw/descriptor/14049-0>	Nitrogen fertilizer
<http://zbw.eu/stw/descriptor/14955-4>	Dairy product
<http://zbw.eu/stw/descriptor/14762-1>	Scanner
<http://zbw.eu/stw/descriptor/29647-5>	Risk-return tradeoff
<http://zbw.eu/stw/thsys/70476>	P.12.03  Detergents and cosmetics
<http://zbw.eu/stw/descriptor/14733-1>	Skincare product
<http://zbw.eu/stw/descriptor/14899-2>	Clothing
<http://zbw.eu/stw/descriptor/19664-4>	Financial crisis
<http://zbw.eu/stw/descriptor/20306-6>	Product safety
<http://zbw.eu/stw/descriptor/10510-6>	Urban development
<http://zbw.eu/stw/descriptor/16404-3>	Radicalism
<http://zbw.eu/stw/descriptor/18304-4>	Food packaging
<http://zbw.eu/stw/descriptor/12825-6>	Radio advertising
<http://zbw.eu/stw/descriptor/17770-1>	Antigua and Barbuda
<http://zbw.eu/stw/descriptor/13687-1>	Banking supervision
<http://zbw.eu/stw/descriptor/18077-3>	Palm oil
<http://zbw.eu/stw/descriptor/19763-2>	Offenders
<http://zbw.eu/stw/descriptor/11659-2>	Real property tax
<http://zbw.eu/stw/descriptor/13279-2>	Bourse
<http://zbw.eu/stw/descriptor/18536-4>	Intra-EU trade
<http://zbw.eu/stw/descriptor/19659-4>	Cross-cultural relations
<http://zbw.eu/stw/descriptor/29644-4>	Financial managers
<http://zbw.eu/stw/thsys/193280>	V.03.01  Macroeconomic models
<http://zbw.eu/stw/descriptor/19698-1>	Presidential election
<http://zbw.eu/stw/descriptor/18124-6>	Long-term unemployment
<http://zbw.eu/stw/descriptor/30032-4>	Subculture
<http://zbw.eu/stw/descriptor/16193-4>	Corruption
<http://zbw.eu/stw/descriptor/19576-1>	Cointegration
<http://zbw.eu/stw/descriptor/19438-6>	Spatial distribution
<http://zbw.eu/stw/descriptor/19458-0>	Village development
<http://zbw.eu/stw/thsys/70147>	G.02.01  East Asia
<http://zbw.eu/stw/descriptor/26829-0>	Ukrainian
<http://zbw.eu/stw/descriptor/19346-4>	Pig price
<http://zbw.eu/stw/descriptor/10293-2>	Investment risk
<http://zbw.eu/stw/descriptor/13064-2>	Steel construction
<http://zbw.eu/stw/descriptor/13193-5>	Pharmaceutical distributors
<http://zbw.eu/stw/descriptor/16476-6>	Drug policy
<http://zbw.eu/stw/descriptor/11275-6>	Young workers
<http://zbw.eu/stw/thsys/73302>	P.19.01  Meat and meat products
<http://zbw.eu/stw/descriptor/27795-0>	New product development
<http://zbw.eu/stw/descriptor/11281-4>	Overemployment
<http://zbw.eu/stw/thsys/70029>	B.06.04  Production planning
<http://zbw.eu/stw/descriptor/11832-0>	Transport planning
<http://zbw.eu/stw/descriptor/12087-2>	Business game
<http://zbw.eu/stw/descriptor/12204-3>	Efficient market hypothesis
<http://zbw.eu/stw/descriptor/19072-1>	Applied statistics
<http://zbw.eu/stw/descriptor/29633-2>	Credit derivative
<http://zbw.eu/stw/descriptor/10201-5>	Market mechanism
<http://zbw.eu/stw/descriptor/18686-6>	Eurobond
<http://zbw.eu/stw/descriptor/19327-1>	Economic conference
<http://zbw.eu/stw/descriptor/11603-1>	Local fiscal equalization
<http://zbw.eu/stw/thsys/71015>	W.04.01.01  Electric power industry
<http://zbw.eu/stw/descriptor/12249-2>	Cost of capital
<http://zbw.eu/stw/descriptor/10907-0>	Buyer power
<http://zbw.eu/stw/descriptor/19696-5>	Party politics
<http://zbw.eu/stw/thsys/70872>	W.22  Public sector
<http://zbw.eu/stw/descriptor/16805-6>	Antarctica
<http://zbw.eu/stw/descriptor/15609-4>	Computer science
<http://zbw.eu/stw/thsys/73342>	N.10.05  Information technology and computer science
<http://zbw.eu/stw/descriptor/29903-6>	Mate selection
<http://zbw.eu/stw/descriptor/18980-6>	Agricultural production
<http://zbw.eu/stw/descriptor/14725-0>	Hormone
<http://zbw.eu/stw/descriptor/26435-0>	Lithuanians
<http://zbw.eu/stw/descriptor/11362-4>	Vocational school
<http://zbw.eu/stw/descriptor/15258-0>	Statistical inference
<http://zbw.eu/stw/descriptor/11691-6>	Tax fairness
<http://zbw.eu/stw/descriptor/12535-1>	Cost allocation
<http://zbw.eu/stw/thsys/70455>	V.05.02  Interest rate
<http://zbw.eu/stw/descriptor/13255-2>	Railway transport
<http://zbw.eu/stw/descriptor/29809-5>	Guerilla marketing
<http://zbw.eu/stw/descriptor/13434-2>	Crop yield
<http://zbw.eu/stw/descriptor/18769-2>	Statistical data
<http://zbw.eu/stw/thsys/70481>	V.02.02  Theory of the firm
<http://zbw.eu/stw/descriptor/17179-0>	Southeastern Europe
<http://zbw.eu/stw/descriptor/15705-1>	Cliometrics
<http://zbw.eu/stw/descriptor/14995-6>	Ice cream
<http://zbw.eu/stw/descriptor/19391-6>	Footwear market
<http://zbw.eu/stw/thsys/73300>	P.19.07  Beverages
<http://zbw.eu/stw/descriptor/24624-0>	Business angels
<http://zbw.eu/stw/descriptor/18657-6>	Interoperability
<http://zbw.eu/stw/descriptor/10015-2>	Useful life
<http://zbw.eu/stw/descriptor/13572-4>	Traffic accident
<http://zbw.eu/stw/thsys/70051>	V.13.01  Employment and labour market
<http://zbw.eu/stw/descriptor/18599-1>	Dock workers
<http://zbw.eu/stw/descriptor/10963-4>	Competition policy
<http://zbw.eu/stw/descriptor/10437-4>	Technology policy
<http://zbw.eu/stw/descriptor/29807-2>	Direct selling
<http://zbw.eu/stw/descriptor/15642-6>	Foreign language
<http://zbw.eu/stw/descriptor/16267-1>	Civil war
<http://zbw.eu/stw/descriptor/19819-1>	Customary law
<http://zbw.eu/stw/descriptor/21094-4>	Contract farming
<http://zbw.eu/stw/descriptor/10021-0>	Speculation
<http://zbw.eu/stw/thsys/70506>	P.03  Fishery products
<http://zbw.eu/stw/descriptor/13095-5>	Jewellery industry
<http://zbw.eu/stw/descriptor/11271-0>	Labour force
<http://zbw.eu/stw/descriptor/15243-6>	Sampling
<http://zbw.eu/stw/descriptor/18690-1>	Commodity derivative
<http://zbw.eu/stw/descriptor/10850-3>	Letter of credit
<http://zbw.eu/stw/descriptor/14996-4>	Confectionery
<http://zbw.eu/stw/descriptor/29988-0>	Comparative capitalism perspective
<http://zbw.eu/stw/descriptor/11043-6>	Mixed economy
<http://zbw.eu/stw/descriptor/12847-3>	Print advertising
<http://zbw.eu/stw/descriptor/30171-4>	Digitization
<http://zbw.eu/stw/descriptor/29029-3>	Value reporting
<http://zbw.eu/stw/descriptor/13570-1>	Traffic safety
<http://zbw.eu/stw/descriptor/10418-1>	Post-Keynesian growth model
<http://zbw.eu/stw/descriptor/10828-3>	Double taxation
<http://zbw.eu/stw/descriptor/14214-4>	Diesel fuel
<http://zbw.eu/stw/descriptor/13234-3>	Wine trade
<http://zbw.eu/stw/descriptor/19086-4>	Bosnia and Herzegovina
<http://zbw.eu/stw/descriptor/11932-3>	Location theory
<http://zbw.eu/stw/descriptor/10866-2>	Export credit insurance
<http://zbw.eu/stw/thsys/70477>	P.10.01  Household Appliances
<http://zbw.eu/stw/descriptor/11778-1>	Asset-based policy
<http://zbw.eu/stw/thsys/73351>	N.10.01.03  Environment and ecology
<http://zbw.eu/stw/descriptor/19305-4>	Wheat price
<http://zbw.eu/stw/descriptor/11666-5>	Corporate income tax
<http://zbw.eu/stw/descriptor/10787-5>	Current account
<http://zbw.eu/stw/descriptor/26480-2>	Mexicans
<http://zbw.eu/stw/descriptor/16566-5>	Economic culture
<http://zbw.eu/stw/descriptor/28820-1>	Care dependency
<http://zbw.eu/stw/descriptor/16417-1>	Neutral countries
<http://zbw.eu/stw/descriptor/27587-0>	Operational risk
<http://zbw.eu/stw/descriptor/19118-3>	Purchase
<http://zbw.eu/stw/descriptor/29808-0>	Shopping behaviour
<http://zbw.eu/stw/descriptor/11971-0>	Urban population
<http://zbw.eu/stw/descriptor/13284-2>	Building society
<http://zbw.eu/stw/descriptor/15638-4>	Chemistry
<http://zbw.eu/stw/descriptor/19727-6>	EU environmental policy
<http://zbw.eu/stw/descriptor/10830-2>	Cross-border tax evasion
<http://zbw.eu/stw/descriptor/19192-5>	Coal market
<http://zbw.eu/stw/descriptor/15972-6>	Legal protection
<http://zbw.eu/stw/descriptor/13401-3>	Consumer advice
<http://zbw.eu/stw/descriptor/13085-1>	Metal goods industry
<http://zbw.eu/stw/descriptor/15220-4>	Markov chain
<http://zbw.eu/stw/descriptor/17677-5>	Sudan
<http://zbw.eu/stw/descriptor/16972-1>	Switzerland
<http://zbw.eu/stw/descriptor/16353-1>	Voting behaviour
<http://zbw.eu/stw/descriptor/12821-0>	Store design
<http://zbw.eu/stw/descriptor/29794-6>	Customer retention
<http://zbw.eu/stw/descriptor/15909-6>	Population
<http://zbw.eu/stw/descriptor/19688-4>	State-building
<http://zbw.eu/stw/descriptor/29993-0>	Intra-regional trade
<http://zbw.eu/stw/descriptor/29696-6>	Financial markets reform
<http://zbw.eu/stw/descriptor/15381-1>	Scientific modelling
<http://zbw.eu/stw/descriptor/19116-0>	Lean production
<http://zbw.eu/stw/descriptor/10603-6>	International financial assistance
<http://zbw.eu/stw/descriptor/28940-5>	Workaholism
<http://zbw.eu/stw/descriptor/17984-3>	Anglophone Africa
<http://zbw.eu/stw/descriptor/17914-3>	Bolivia
<http://zbw.eu/stw/descriptor/16327-2>	Government department
<http://zbw.eu/stw/descriptor/18809-2>	State law
<http://zbw.eu/stw/descriptor/27630-4>	Safety
<http://zbw.eu/stw/descriptor/11054-1>	Market failure
<http://zbw.eu/stw/descriptor/10489-6>	Population growth
<http://zbw.eu/stw/thsys/71113>	V.03.05.01  Distributive policy
<http://zbw.eu/stw/descriptor/14145-4>	Livestock
<http://zbw.eu/stw/descriptor/29852-4>	Intellectual property management
<http://zbw.eu/stw/descriptor/12794-5>	Pricing strategy
<http://zbw.eu/stw/descriptor/18398-4>	Package design
<http://zbw.eu/stw/descriptor/19774-4>	Non-marital children
<http://zbw.eu/stw/descriptor/16741-6>	Physiocracy
<http://zbw.eu/stw/descriptor/14840-0>	Haberdashery
<http://zbw.eu/stw/descriptor/18899-3>	Cancer
<http://zbw.eu/stw/descriptor/29443-0>	Writing
<http://zbw.eu/stw/descriptor/19167-4>	South Asia
<http://zbw.eu/stw/descriptor/12523-1>	Standard costing
<http://zbw.eu/stw/descriptor/13804-2>	Cheque
<http://zbw.eu/stw/descriptor/26478-3>	Macedonian
<http://zbw.eu/stw/descriptor/15105-4>	Production statistics
<http://zbw.eu/stw/descriptor/11400-1>	Equality of opportunity in education
<http://zbw.eu/stw/descriptor/14123-0>	Honey
<http://zbw.eu/stw/descriptor/11158-3>	Hierarchy
<http://zbw.eu/stw/thsys/70828>	W.28  Cultural sector
<http://zbw.eu/stw/descriptor/11414-4>	Financial intermediation
<http://zbw.eu/stw/descriptor/19631-5>	Maritime policy
<http://zbw.eu/stw/descriptor/29835-4>	Meat processing industry
<http://zbw.eu/stw/descriptor/11931-5>	Spillover effect
<http://zbw.eu/stw/descriptor/15651-5>	Coal upgrading
<http://zbw.eu/stw/descriptor/14030-0>	Garden equipment
<http://zbw.eu/stw/descriptor/12761-6>	Scheduling problem
<http://zbw.eu/stw/descriptor/12950-3>	Cattle farming
<http://zbw.eu/stw/descriptor/16078-4>	Trademark law
<http://zbw.eu/stw/descriptor/10608-3>	Single European market
<http://zbw.eu/stw/descriptor/12957-3>	Pastoral farming
<http://zbw.eu/stw/descriptor/11774-2>	Rate of profit
<http://zbw.eu/stw/descriptor/10005-5>	Property
<http://zbw.eu/stw/descriptor/17950-6>	Tuvalu
<http://zbw.eu/stw/descriptor/18519-4>	Coffee trade
<http://zbw.eu/stw/descriptor/29950-4>	Grounded theory
<http://zbw.eu/stw/descriptor/10568-3>	Donor countries
<http://zbw.eu/stw/descriptor/12946-1>	Dairy farming
<http://zbw.eu/stw/descriptor/19643-5>	Indigenous peoples
<http://zbw.eu/stw/descriptor/29738-2>	Overseas territories
<http://zbw.eu/stw/descriptor/19454-1>	Land market
<http://zbw.eu/stw/descriptor/13389-2>	Legal services
<http://zbw.eu/stw/descriptor/17993-2>	OECD countries
<http://zbw.eu/stw/descriptor/12841-1>	Promotional materials
<http://zbw.eu/stw/descriptor/19051-2>	Steel product
<http://zbw.eu/stw/descriptor/11238-5>	Employment effect
<http://zbw.eu/stw/descriptor/13460-1>	Retail research
<http://zbw.eu/stw/descriptor/29869-1>	Population dynamics model
<http://zbw.eu/stw/descriptor/12588-1>	Career development
<http://zbw.eu/stw/descriptor/15668-2>	Equestrian sports
<http://zbw.eu/stw/descriptor/10812-4>	International credit
<http://zbw.eu/stw/descriptor/11163-3>	Conflict
<http://zbw.eu/stw/descriptor/19275-1>	Commercial paper
<http://zbw.eu/stw/descriptor/11825-4>	Social economy
<http://zbw.eu/stw/descriptor/14131-1>	Beekeeping
<http://zbw.eu/stw/descriptor/13406-0>	Unemployment insurance
<http://zbw.eu/stw/descriptor/10854-2>	Foreign trade finance
<http://zbw.eu/stw/descriptor/13347-4>	Media industries
<http://zbw.eu/stw/descriptor/19566-4>	Labour costs
<http://zbw.eu/stw/descriptor/13773-1>	Bank secrecy
<http://zbw.eu/stw/descriptor/13656-5>	Cable television
<http://zbw.eu/stw/descriptor/29720-0>	Labour market reform
<http://zbw.eu/stw/descriptor/19803-2>	Object-oriented programming
<http://zbw.eu/stw/descriptor/11346-2>	Collective bargaining
<http://zbw.eu/stw/descriptor/30008-1>	Global economic crisis
<http://zbw.eu/stw/descriptor/14539-4>	Photographic devices
<http://zbw.eu/stw/descriptor/18696-3>	Theory of credit
<http://zbw.eu/stw/descriptor/18755-6>	Rent policy
<http://zbw.eu/stw/descriptor/13799-4>	Debt collection agency
<http://zbw.eu/stw/descriptor/13514-4>	Transport route
<http://zbw.eu/stw/descriptor/29806-4>	Brand extension
<http://zbw.eu/stw/descriptor/28541-5>	School choice
<http://zbw.eu/stw/descriptor/10606-0>	Foreign trade law
<http://zbw.eu/stw/descriptor/29739-0>	Baltic Sea region
<http://zbw.eu/stw/descriptor/11258-6>	Seasonal workers
<http://zbw.eu/stw/descriptor/11373-6>	Higher education institution
<http://zbw.eu/stw/descriptor/29956-6>	Single equation model
<http://zbw.eu/stw/descriptor/17700-1>	Cote d'Ivoire
<http://zbw.eu/stw/descriptor/12981-6>	Lignite mining
<http://zbw.eu/stw/descriptor/14163-2>	Saltwater fish
<http://zbw.eu/stw/descriptor/29583-5>	International water policy
<http://zbw.eu/stw/descriptor/10761-2>	Adjustable peg
<http://zbw.eu/stw/descriptor/13580-5>	Intermodal competition
<http://zbw.eu/stw/descriptor/15397-0>	Cluster analysis
<http://zbw.eu/stw/descriptor/16201-3>	Economic crime
<http://zbw.eu/stw/descriptor/29781-1>	English auction
<http://zbw.eu/stw/descriptor/10120-5>	Capital
<http://zbw.eu/stw/descriptor/12941-4>	Aviculture
<http://zbw.eu/stw/descriptor/26448-5>	Malaysians
<http://zbw.eu/stw/descriptor/26900-6>	Child poverty
<http://zbw.eu/stw/descriptor/28807-0>	Hospital management
<http://zbw.eu/stw/descriptor/19592-3>	Stochastic game
<http://zbw.eu/stw/descriptor/10807-4>	International financial market
<http://zbw.eu/stw/descriptor/18542-2>	International market segmentation
<http://zbw.eu/stw/descriptor/15036-4>	Fuzzy sets
<http://zbw.eu/stw/descriptor/18652-2>	Telecommunications price
<http://zbw.eu/stw/descriptor/19347-2>	Livestock market
<http://zbw.eu/stw/descriptor/20241-1>	Virtual organization
<http://zbw.eu/stw/descriptor/16050-5>	Corporate law
<http://zbw.eu/stw/thsys/70825>	W.29  Media Industries
<http://zbw.eu/stw/descriptor/11673-1>	Fuel tax
<http://zbw.eu/stw/descriptor/19374-6>	Fiscal illusion
<http://zbw.eu/stw/descriptor/19026-1>	Implementation
<http://zbw.eu/stw/descriptor/19473-4>	Sustainable urban development
<http://zbw.eu/stw/thsys/70242>	V.10.03  Competitive strategy
<http://zbw.eu/stw/descriptor/12631-5>	Job evaluation
<http://zbw.eu/stw/descriptor/14060-5>	Spices
<http://zbw.eu/stw/descriptor/13658-1>	Communication media
<http://zbw.eu/stw/descriptor/13322-6>	Auction
<http://zbw.eu/stw/descriptor/11893-1>	Commuting
<http://zbw.eu/stw/descriptor/16401-2>	Christian social ethics
<http://zbw.eu/stw/descriptor/13828-2>	Insurance
<http://zbw.eu/stw/descriptor/11607-0>	Debt management
<http://zbw.eu/stw/descriptor/29665-3>	International corporate taxation
<http://zbw.eu/stw/descriptor/11599-1>	Intergovernmental transfers
<http://zbw.eu/stw/descriptor/29840-4>	Financial inclusion
<http://zbw.eu/stw/descriptor/16623-5>	Social justice
<http://zbw.eu/stw/descriptor/17586-1>	Philippines
<http://zbw.eu/stw/descriptor/18203-3>	Fuelwood
<http://zbw.eu/stw/descriptor/11564-6>	Family benefits
<http://zbw.eu/stw/descriptor/29654-1>	Accounting fraud
<http://zbw.eu/stw/descriptor/12820-2>	Commission payments
<http://zbw.eu/stw/descriptor/12064-0>	Private sector
<http://zbw.eu/stw/descriptor/16384-4>	Corporatism
<http://zbw.eu/stw/descriptor/28082-4>	Job changing
<http://zbw.eu/stw/descriptor/19164-3>	Strategic alliance
<http://zbw.eu/stw/descriptor/15679-4>	Accident
<http://zbw.eu/stw/descriptor/11224-2>	Human capital
<http://zbw.eu/stw/descriptor/19544-0>	E-business
<http://zbw.eu/stw/descriptor/19300-0>	Rice price
<http://zbw.eu/stw/descriptor/11807-6>	Fisheries policy
<http://zbw.eu/stw/descriptor/15902-6>	Economic geography
<http://zbw.eu/stw/descriptor/15315-0>	Nonparametric statistics
<http://zbw.eu/stw/descriptor/15937-1>	Marriage
<http://zbw.eu/stw/descriptor/29833-1>	Nitrate pollution
<http://zbw.eu/stw/descriptor/19457-2>	Small town
<http://zbw.eu/stw/descriptor/10884-0>	Commodity exchange
<http://zbw.eu/stw/descriptor/24704-2>	Business process management
<http://zbw.eu/stw/descriptor/13153-3>	Oils and fats industry
<http://zbw.eu/stw/descriptor/26807-3>	Czech
<http://zbw.eu/stw/descriptor/29722-3>	State government debt
<http://zbw.eu/stw/descriptor/19603-3>	Higher education statistics
<http://zbw.eu/stw/descriptor/10835-6>	Foreign trade statistics
<http://zbw.eu/stw/descriptor/21072-0>	Insurance coverage
<http://zbw.eu/stw/descriptor/17793-3>	Panama
<http://zbw.eu/stw/descriptor/13693-6>	Banking law
<http://zbw.eu/stw/thsys/73347>	N.10.03  Medical sciences and nutrition
<http://zbw.eu/stw/descriptor/14456-1>	Ship's equipment
<http://zbw.eu/stw/thsys/70183>	B.02.01  Corporate finance
<http://zbw.eu/stw/descriptor/24623-2>	Reservation wage
<http://zbw.eu/stw/descriptor/19032-6>	Control
<http://zbw.eu/stw/descriptor/14771-0>	Sanitary facilities
<http://zbw.eu/stw/descriptor/13545-0>	Shipping policy
<http://zbw.eu/stw/descriptor/29703-0>	Personal finance
<http://zbw.eu/stw/descriptor/14285-2>	Steel
<http://zbw.eu/stw/descriptor/30052-5>	Political sociology
<http://zbw.eu/stw/descriptor/19608-0>	Linguistics
<http://zbw.eu/stw/descriptor/29101-0>	E-government
<http://zbw.eu/stw/descriptor/10121-3>	Capital shortage
<http://zbw.eu/stw/thsys/73331>	N.05.06.01  Community law
<http://zbw.eu/stw/descriptor/17161-5>	Spain
<http://zbw.eu/stw/descriptor/11087-0>	Class struggle
<http://zbw.eu/stw/thsys/70292>	B.07.06  Market research
<http://zbw.eu/stw/descriptor/17676-0>	Somalia
