<http://www.yso.fi/onto/yso/p19899>	Häme Castle
<http://www.yso.fi/onto/yso/p887>	rock excavation
<http://www.yso.fi/onto/yso/p153296>	Tiwanaku
<http://www.yso.fi/onto/yso/p17880>	bottles
<http://www.yso.fi/onto/yso/p139444>	Kivesjärvi
<http://www.yso.fi/onto/yso/p21898>	Wagnerism
<http://www.yso.fi/onto/yso/p14629>	aardvark
<http://www.yso.fi/onto/yso/p6512>	nuts (fastening accessories)
<http://www.yso.fi/onto/yso/p20289>	copulation
<http://www.yso.fi/onto/yso/p18998>	peer-to-peer networks
<http://www.yso.fi/onto/yso/p15846>	postgraduate degrees
<http://www.yso.fi/onto/yso/p28651>	global justice
<http://www.yso.fi/onto/yso/p9252>	interstellar matter
<http://www.yso.fi/onto/yso/p194895>	Lake Pyaozero
<http://www.yso.fi/onto/yso/p23907>	waders
<http://www.yso.fi/onto/yso/p115947>	Tammisalo
<http://www.yso.fi/onto/yso/p17049>	milieu therapy
<http://www.yso.fi/onto/yso/p27174>	multi-species fishing
<http://www.yso.fi/onto/yso/p21732>	retina
<http://www.yso.fi/onto/yso/p104984>	People's Republic of China
<http://www.yso.fi/onto/yso/p20039>	police messages for apprehension
<http://www.yso.fi/onto/yso/p4909>	communication psychology
<http://www.yso.fi/onto/yso/p129134>	Volgograd
<http://www.yso.fi/onto/yso/p213069>	Jänessaari
<http://www.yso.fi/onto/yso/p3130>	otitis
<http://www.yso.fi/onto/yso/p10561>	printers (data processing)
<http://www.yso.fi/onto/yso/p12473>	civets
<http://www.yso.fi/onto/yso/p15527>	science fiction (literature)
<http://www.yso.fi/onto/yso/p24531>	congregational magazines
<http://www.yso.fi/onto/yso/p8712>	paleography
<http://www.yso.fi/onto/yso/p18825>	rhubarb
<http://www.yso.fi/onto/yso/p3394>	population growth
<http://www.yso.fi/onto/yso/p4102>	labour colonies
<http://www.yso.fi/onto/yso/p2778>	animal protection
<http://www.yso.fi/onto/yso/p4801>	hyperlipidemia
<http://www.yso.fi/onto/yso/p6564>	challenges
<http://www.yso.fi/onto/yso/p20429>	cocoa butter
<http://www.yso.fi/onto/yso/p23669>	disappointment
<http://www.yso.fi/onto/yso/p9617>	essay writing
<http://www.yso.fi/onto/yso/p10027>	eurhythmy
<http://www.yso.fi/onto/yso/p10331>	account books
<http://www.yso.fi/onto/yso/p7496>	bronchoscopy
<http://www.yso.fi/onto/yso/p19118>	phrenology
<http://www.yso.fi/onto/yso/p10891>	youth leaders
<http://www.yso.fi/onto/yso/p22461>	polypharmacy
<http://www.yso.fi/onto/yso/p14479>	optical detectors
<http://www.yso.fi/onto/yso/p17614>	placenta insufficiency
<http://www.yso.fi/onto/yso/p37863>	foosball
<http://www.yso.fi/onto/yso/p10442>	Ostrobothnian identity
<http://www.yso.fi/onto/yso/p15929>	Valamo Monastery (Heinävesi)
<http://www.yso.fi/onto/yso/p8067>	skeleton constructions
<http://www.yso.fi/onto/yso/p2340>	Anniversary Year of Beniamino Gigli
<http://www.yso.fi/onto/yso/p8605>	fermented milk products
<http://www.yso.fi/onto/yso/p2080>	metal plates
<http://www.yso.fi/onto/yso/p113174>	Imatrankoski
<http://www.yso.fi/onto/yso/p106312>	Main road 13
<http://www.yso.fi/onto/yso/p675>	pets
<http://www.yso.fi/onto/yso/p20333>	telemedicine
<http://www.yso.fi/onto/yso/p2013>	admission tickets
<http://www.yso.fi/onto/yso/p108402>	Veräjämäki
<http://www.yso.fi/onto/yso/p14020>	tort law
<http://www.yso.fi/onto/yso/p18654>	pelvic inflammatory disease
<http://www.yso.fi/onto/yso/p23963>	packets
<http://www.yso.fi/onto/yso/p8879>	horticulture
<http://www.yso.fi/onto/yso/p24854>	fisheries management
<http://www.yso.fi/onto/yso/p18496>	European integration
<http://www.yso.fi/onto/yso/p11073>	fairies
<http://www.yso.fi/onto/yso/p11990>	organ donation
<http://www.yso.fi/onto/yso/p108821>	Eräjärvi
<http://www.yso.fi/onto/yso/p13349>	listed companies
<http://www.yso.fi/onto/yso/p9599>	residential areas
<http://www.yso.fi/onto/yso/p11557>	International Literacy Year
<http://www.yso.fi/onto/yso/p11280>	working class
<http://www.yso.fi/onto/yso/p6061>	lotteries
<http://www.yso.fi/onto/yso/p22629>	Treaty of Saint-Germain-en-Laye (1919)
<http://www.yso.fi/onto/yso/p21068>	tantra
<http://www.yso.fi/onto/yso/p26375>	library history
<http://www.yso.fi/onto/yso/p5201>	family sports
<http://www.yso.fi/onto/yso/p4466>	serpentine
<http://www.yso.fi/onto/yso/p23134>	Insurance Contracts Act
<http://www.yso.fi/onto/yso/p18541>	ferry drivers
<http://www.yso.fi/onto/yso/p4924>	horns
<http://www.yso.fi/onto/yso/p106814>	Kuokkala
<http://www.yso.fi/onto/yso/p161314>	Louko
<http://www.yso.fi/onto/yso/p22213>	truthfulness
<http://www.yso.fi/onto/yso/p4847>	mild stimulants
<http://www.yso.fi/onto/yso/p1561>	anteaters
<http://www.yso.fi/onto/yso/p21892>	patination
<http://www.yso.fi/onto/yso/p25323>	force production (physiology)
<http://www.yso.fi/onto/yso/p23167>	Act on Social Enterprises
<http://www.yso.fi/onto/yso/p24984>	sports commentaries
<http://www.yso.fi/onto/yso/p13096>	building planning (zoning)
<http://www.yso.fi/onto/yso/p25190>	orderers
<http://www.yso.fi/onto/yso/p23048>	network surveillance
<http://www.yso.fi/onto/yso/p99>	obligation to provide maintenance
<http://www.yso.fi/onto/yso/p3621>	old growth forests
<http://www.yso.fi/onto/yso/p2638>	means of transportation
<http://www.yso.fi/onto/yso/p20628>	consistency
<http://www.yso.fi/onto/yso/p25382>	abstract character
<http://www.yso.fi/onto/yso/p1271>	wars
<http://www.yso.fi/onto/yso/p27546>	moped riding
<http://www.yso.fi/onto/yso/p7320>	individuality
<http://www.yso.fi/onto/yso/p110405>	Palosaari
<http://www.yso.fi/onto/yso/p97>	maintenance (financial provision)
<http://www.yso.fi/onto/yso/p17826>	workers' theatres
<http://www.yso.fi/onto/yso/p3267>	animal feedingstuffs
<http://www.yso.fi/onto/yso/p108088>	Tuscany
<http://www.yso.fi/onto/yso/p3215>	states (countries)
<http://www.yso.fi/onto/yso/p2592>	fishermen
<http://www.yso.fi/onto/yso/p21167>	International Drinking Water Supply and Sanitation Decade
<http://www.yso.fi/onto/yso/p608>	racism
<http://www.yso.fi/onto/yso/p18482>	workers' sports
<http://www.yso.fi/onto/yso/p25693>	outerwear
<http://www.yso.fi/onto/yso/p21031>	flat taxation
<http://www.yso.fi/onto/yso/p11527>	hymnals
<http://www.yso.fi/onto/yso/p14971>	category management
<http://www.yso.fi/onto/yso/p872>	official journeys
<http://www.yso.fi/onto/yso/p14347>	male domination
<http://www.yso.fi/onto/yso/p94479>	Russia
<http://www.yso.fi/onto/yso/p21307>	software business
<http://www.yso.fi/onto/yso/p2328>	traditional biotope
<http://www.yso.fi/onto/yso/p20223>	calculation of pay
<http://www.yso.fi/onto/yso/p21973>	Thysanura
<http://www.yso.fi/onto/yso/p13126>	life situation
<http://www.yso.fi/onto/yso/p16649>	international administration of justice
<http://www.yso.fi/onto/yso/p11130>	flues
<http://www.yso.fi/onto/yso/p12773>	regional planning (community planning)
<http://www.yso.fi/onto/yso/p19270>	gymnosperms
<http://www.yso.fi/onto/yso/p24091>	Cladonia rangiferina
<http://www.yso.fi/onto/yso/p11737>	steel
<http://www.yso.fi/onto/yso/p23964>	titles (designations)
<http://www.yso.fi/onto/yso/p7189>	sex therapy
<http://www.yso.fi/onto/yso/p11303>	Namibians
<http://www.yso.fi/onto/yso/p7878>	cleaning personnel
<http://www.yso.fi/onto/yso/p9367>	moral theology
<http://www.yso.fi/onto/yso/p11469>	boating
<http://www.yso.fi/onto/yso/p16935>	Kaustinen Folk Music Festival
<http://www.yso.fi/onto/yso/p21260>	alcohol and drug education
<http://www.yso.fi/onto/yso/p919>	Finnish War (1808-1809)
<http://www.yso.fi/onto/yso/p7963>	mobiles
<http://www.yso.fi/onto/yso/p4775>	heating systems
<http://www.yso.fi/onto/yso/p11821>	lunar eclipses
<http://www.yso.fi/onto/yso/p11972>	condensers (electrical devices)
<http://www.yso.fi/onto/yso/p28523>	Kikuyu language
<http://www.yso.fi/onto/yso/p29987>	Harlem jazz
<http://www.yso.fi/onto/yso/p22218>	rapid reaction force
<http://www.yso.fi/onto/yso/p108252>	Humppila
<http://www.yso.fi/onto/yso/p29677>	K'iche' people
<http://www.yso.fi/onto/yso/p4506>	Plantaginaceae
<http://www.yso.fi/onto/yso/p16937>	furunculosis
<http://www.yso.fi/onto/yso/p7570>	farm economy
<http://www.yso.fi/onto/yso/p6790>	castles
<http://www.yso.fi/onto/yso/p3860>	institutional cateres
<http://www.yso.fi/onto/yso/p17263>	requirements engineering
<http://www.yso.fi/onto/yso/p25988>	conditioning
<http://www.yso.fi/onto/yso/p8426>	sheep
<http://www.yso.fi/onto/yso/p9944>	garden rooms
<http://www.yso.fi/onto/yso/p25415>	rubber bands
<http://www.yso.fi/onto/yso/p24162>	soft tissues
<http://www.yso.fi/onto/yso/p124014>	Ruotula
<http://www.yso.fi/onto/yso/p23723>	Saint Bernard dog
<http://www.yso.fi/onto/yso/p10456>	television companies
<http://www.yso.fi/onto/yso/p109293>	Guyana
<http://www.yso.fi/onto/yso/p14341>	Boers
<http://www.yso.fi/onto/yso/p124376>	Nötö
<http://www.yso.fi/onto/yso/p153829>	Pähkinärinne
<http://www.yso.fi/onto/yso/p24883>	ridicule
<http://www.yso.fi/onto/yso/p175114>	Xinjiang
<http://www.yso.fi/onto/yso/p10374>	organisations for commerce
<http://www.yso.fi/onto/yso/p17579>	Eurasian dotterel
<http://www.yso.fi/onto/yso/p588>	timber line
<http://www.yso.fi/onto/yso/p15477>	natural product sector
<http://www.yso.fi/onto/yso/p2011>	information society
<http://www.yso.fi/onto/yso/p13199>	military history
<http://www.yso.fi/onto/yso/p4589>	hand puppets
<http://www.yso.fi/onto/yso/p16775>	conducting of choirs
<http://www.yso.fi/onto/yso/p12383>	atonality
<http://www.yso.fi/onto/yso/p2352>	singers
<http://www.yso.fi/onto/yso/p18829>	master of business administration degree
<http://www.yso.fi/onto/yso/p21221>	functional materials
<http://www.yso.fi/onto/yso/p29258>	Sorbus aucuparia
<http://www.yso.fi/onto/yso/p13253>	automatic control
<http://www.yso.fi/onto/yso/p18398>	orchids
<http://www.yso.fi/onto/yso/p1974>	combustion (passive)
<http://www.yso.fi/onto/yso/p23286>	land snails
<http://www.yso.fi/onto/yso/p9422>	ears
<http://www.yso.fi/onto/yso/p212041>	Wyoming
<http://www.yso.fi/onto/yso/p14532>	Windows 2000
<http://www.yso.fi/onto/yso/p1328>	systems in natural science
<http://www.yso.fi/onto/yso/p24089>	acute lymphocytic leukemia
<http://www.yso.fi/onto/yso/p12991>	civil parishes
<http://www.yso.fi/onto/yso/p165682>	Länsiranta
<http://www.yso.fi/onto/yso/p2293>	support families
<http://www.yso.fi/onto/yso/p94123>	Halsua
<http://www.yso.fi/onto/yso/p24470>	secondary immune response
<http://www.yso.fi/onto/yso/p10225>	on-the-job learning
<http://www.yso.fi/onto/yso/p22452>	natural values trading
<http://www.yso.fi/onto/yso/p10404>	aikido
<http://www.yso.fi/onto/yso/p12423>	free thought
<http://www.yso.fi/onto/yso/p6133>	method of empathy-based stories
<http://www.yso.fi/onto/yso/p106271>	Pojoviken
<http://www.yso.fi/onto/yso/p1442>	consumer research
<http://www.yso.fi/onto/yso/p24286>	cytochromes
<http://www.yso.fi/onto/yso/p29342>	child abduction
<http://www.yso.fi/onto/yso/p28489>	tall tales
<http://www.yso.fi/onto/yso/p22936>	nutrient cycle
<http://www.yso.fi/onto/yso/p5655>	large-scale disasters
<http://www.yso.fi/onto/yso/p5181>	mechatronics
<http://www.yso.fi/onto/yso/p6339>	chaos theory
<http://www.yso.fi/onto/yso/p27533>	surrounding municipalities
<http://www.yso.fi/onto/yso/p22670>	cleaning services
<http://www.yso.fi/onto/yso/p27402>	candid camera
<http://www.yso.fi/onto/yso/p27203>	crystal healing
<http://www.yso.fi/onto/yso/p25130>	body awareness
<http://www.yso.fi/onto/yso/p24749>	Afroasiatic languages
<http://www.yso.fi/onto/yso/p8446>	sea areas
<http://www.yso.fi/onto/yso/p19783>	poppana
<http://www.yso.fi/onto/yso/p3588>	pattern psychology
<http://www.yso.fi/onto/yso/p20134>	beds
<http://www.yso.fi/onto/yso/p13646>	orientalism
<http://www.yso.fi/onto/yso/p3865>	cart structures
<http://www.yso.fi/onto/yso/p106686>	Kvevlax
<http://www.yso.fi/onto/yso/p7559>	etiquette
<http://www.yso.fi/onto/yso/p18336>	business prohibitions
<http://www.yso.fi/onto/yso/p14632>	cellulases
<http://www.yso.fi/onto/yso/p8332>	giant slalom
<http://www.yso.fi/onto/yso/p26455>	specialist vocational qualifications
<http://www.yso.fi/onto/yso/p205201>	Lazio
<http://www.yso.fi/onto/yso/p6555>	volcanoes
<http://www.yso.fi/onto/yso/p6895>	narration
<http://www.yso.fi/onto/yso/p20169>	intranet
<http://www.yso.fi/onto/yso/p21061>	energy saving lamps
<http://www.yso.fi/onto/yso/p23538>	Act on Public Contracts by Contracting Authorities in the Water, Energy, Transport and Postal Services Sectors
<http://www.yso.fi/onto/yso/p21982>	sliding doors
<http://www.yso.fi/onto/yso/p15238>	events and action
<http://www.yso.fi/onto/yso/p12910>	Cirsium
<http://www.yso.fi/onto/yso/p2393>	groups of artists
<http://www.yso.fi/onto/yso/p19647>	Mongoloids (ethnicity)
<http://www.yso.fi/onto/yso/p15312>	Flemish language
<http://www.yso.fi/onto/yso/p105124>	Vantaa River
<http://www.yso.fi/onto/yso/p26872>	sport academies
<http://www.yso.fi/onto/yso/p7443>	graphic design
<http://www.yso.fi/onto/yso/p11825>	Phlebia radiata
<http://www.yso.fi/onto/yso/p6974>	remand imprisonment
<http://www.yso.fi/onto/yso/p7292>	neural networks
<http://www.yso.fi/onto/yso/p1727>	loss (waste)
<http://www.yso.fi/onto/yso/p5759>	television (mass media)
<http://www.yso.fi/onto/yso/p14470>	dramaturges
<http://www.yso.fi/onto/yso/p28285>	trail running
<http://www.yso.fi/onto/yso/p5272>	rented premises
<http://www.yso.fi/onto/yso/p16990>	plant nutrients
<http://www.yso.fi/onto/yso/p26759>	Clariidae
<http://www.yso.fi/onto/yso/p29024>	altered states of consciousness
<http://www.yso.fi/onto/yso/p105714>	Brunei
<http://www.yso.fi/onto/yso/p109217>	Bahrain
<http://www.yso.fi/onto/yso/p3821>	coating (activity)
<http://www.yso.fi/onto/yso/p108741>	Republic of Ingushetia
<http://www.yso.fi/onto/yso/p13942>	racing cars
<http://www.yso.fi/onto/yso/p16130>	alternative lifestyle
<http://www.yso.fi/onto/yso/p23405>	car technicians
<http://www.yso.fi/onto/yso/p108129>	Guadalquivir
<http://www.yso.fi/onto/yso/p112338>	Vesijako
<http://www.yso.fi/onto/yso/p9995>	cytostatic drugs
<http://www.yso.fi/onto/yso/p25968>	Altai language
<http://www.yso.fi/onto/yso/p199814>	Naantalinaukko
<http://www.yso.fi/onto/yso/p28101>	religious music
<http://www.yso.fi/onto/yso/p18922>	home theatres
<http://www.yso.fi/onto/yso/p30001>	cadences
<http://www.yso.fi/onto/yso/p28339>	contemporary theatre
<http://www.yso.fi/onto/yso/p38070>	fieldfare
<http://www.yso.fi/onto/yso/p6787>	computers
<http://www.yso.fi/onto/yso/p1412>	woody plants
<http://www.yso.fi/onto/yso/p105702>	Lestijoki
<http://www.yso.fi/onto/yso/p7776>	charms (magic)
<http://www.yso.fi/onto/yso/p23518>	J.V. Snellman 200 Years Jubileum
<http://www.yso.fi/onto/yso/p2929>	EU subsidies
<http://www.yso.fi/onto/yso/p25612>	Kansanvalistusseuran laulu- ja soittojuhlat
<http://www.yso.fi/onto/yso/p7674>	gastropods
<http://www.yso.fi/onto/yso/p7184>	cleanliness
<http://www.yso.fi/onto/yso/p23555>	sports drinks
<http://www.yso.fi/onto/yso/p9128>	public companies
<http://www.yso.fi/onto/yso/p20366>	type approval
<http://www.yso.fi/onto/yso/p105953>	Suuri-Onkamo
<http://www.yso.fi/onto/yso/p9507>	expressionism
<http://www.yso.fi/onto/yso/p12106>	national archives
<http://www.yso.fi/onto/yso/p19982>	Tunisian crocheting
<http://www.yso.fi/onto/yso/p205506>	Pajamäki
<http://www.yso.fi/onto/yso/p12566>	bryophytes
<http://www.yso.fi/onto/yso/p28914>	trace gases
<http://www.yso.fi/onto/yso/p38297>	Nilotic peoples
<http://www.yso.fi/onto/yso/p6560>	military mobilisation
<http://www.yso.fi/onto/yso/p7747>	special libraries
<http://www.yso.fi/onto/yso/p29852>	chamber concertos
<http://www.yso.fi/onto/yso/p105081>	ancient Rome
<http://www.yso.fi/onto/yso/p4030>	electrons
<http://www.yso.fi/onto/yso/p11797>	chapels
<http://www.yso.fi/onto/yso/p38111>	Žiemgaliai (Baltic people)
<http://www.yso.fi/onto/yso/p14151>	Zapotec Indians
<http://www.yso.fi/onto/yso/p8257>	Raumanlinna
<http://www.yso.fi/onto/yso/p13036>	Polytechnics Act
<http://www.yso.fi/onto/yso/p21635>	border terrier
<http://www.yso.fi/onto/yso/p13305>	building management businesses
<http://www.yso.fi/onto/yso/p5733>	Nymphalis
<http://www.yso.fi/onto/yso/p22028>	community media
<http://www.yso.fi/onto/yso/p21199>	making
<http://www.yso.fi/onto/yso/p30201>	sclerosing cholangitis
<http://www.yso.fi/onto/yso/p2055>	warming
<http://www.yso.fi/onto/yso/p113013>	Lappi
<http://www.yso.fi/onto/yso/p37063>	ensemble singing
<http://www.yso.fi/onto/yso/p4988>	Scheuermann's disease
<http://www.yso.fi/onto/yso/p108897>	Cairo
<http://www.yso.fi/onto/yso/p20582>	day fines
<http://www.yso.fi/onto/yso/p19851>	Peltigera
<http://www.yso.fi/onto/yso/p18903>	administration of internal affairs
<http://www.yso.fi/onto/yso/p20646>	dystopias
<http://www.yso.fi/onto/yso/p17641>	undervegetation
<http://www.yso.fi/onto/yso/p20327>	participles
<http://www.yso.fi/onto/yso/p20641>	joking
<http://www.yso.fi/onto/yso/p29695>	survival games
<http://www.yso.fi/onto/yso/p22483>	travel magazines
<http://www.yso.fi/onto/yso/p27277>	emerging markets
<http://www.yso.fi/onto/yso/p21951>	cachaça
<http://www.yso.fi/onto/yso/p30176>	forestry programmes
<http://www.yso.fi/onto/yso/p22147>	tournaments (sports contests)
<http://www.yso.fi/onto/yso/p25026>	fuel injection engines
<http://www.yso.fi/onto/yso/p17754>	cerebral palsied
<http://www.yso.fi/onto/yso/p9857>	international market
<http://www.yso.fi/onto/yso/p18832>	florists
<http://www.yso.fi/onto/yso/p18686>	waiting period
<http://www.yso.fi/onto/yso/p6167>	bioenergy
<http://www.yso.fi/onto/yso/p26811>	accent (linguistics)
<http://www.yso.fi/onto/yso/p6967>	observation towers
<http://www.yso.fi/onto/yso/p8838>	dispersions
<http://www.yso.fi/onto/yso/p10580>	employers
<http://www.yso.fi/onto/yso/p9226>	knowledge management
<http://www.yso.fi/onto/yso/p21551>	clopidogrel
<http://www.yso.fi/onto/yso/p25528>	fat percentage
<http://www.yso.fi/onto/yso/p9363>	qualification
<http://www.yso.fi/onto/yso/p29842>	interpretation of music
<http://www.yso.fi/onto/yso/p25525>	dengue virus
<http://www.yso.fi/onto/yso/p7116>	home economics (curriculum subjects)
<http://www.yso.fi/onto/yso/p21348>	special care
<http://www.yso.fi/onto/yso/p126>	Epicureanism
<http://www.yso.fi/onto/yso/p113349>	Simojärvi
<http://www.yso.fi/onto/yso/p19602>	violin
<http://www.yso.fi/onto/yso/p13395>	adsorption
<http://www.yso.fi/onto/yso/p14222>	absorption of water (plants)
<http://www.yso.fi/onto/yso/p27899>	victim mentality
<http://www.yso.fi/onto/yso/p6179>	local economy
<http://www.yso.fi/onto/yso/p19948>	sociobiology
<http://www.yso.fi/onto/yso/p22107>	berry bushes
<http://www.yso.fi/onto/yso/p2656>	law firms
<http://www.yso.fi/onto/yso/p3842>	logotherapy
<http://www.yso.fi/onto/yso/p8593>	supranationality
<http://www.yso.fi/onto/yso/p37947>	Nynorsk (Norwegian language)
<http://www.yso.fi/onto/yso/p18551>	metro stations
<http://www.yso.fi/onto/yso/p12273>	Charcot-Marie-Tooth disease
<http://www.yso.fi/onto/yso/p194423>	Marttila
<http://www.yso.fi/onto/yso/p8301>	liturgics
<http://www.yso.fi/onto/yso/p10365>	predicate logic
<http://www.yso.fi/onto/yso/p25272>	Christmas Peace
<http://www.yso.fi/onto/yso/p18238>	Scheme
<http://www.yso.fi/onto/yso/p21618>	Trioza apicalis
<http://www.yso.fi/onto/yso/p94453>	Tyrvää
<http://www.yso.fi/onto/yso/p16906>	softball
<http://www.yso.fi/onto/yso/p3049>	social welfare for the developmentally disabled
<http://www.yso.fi/onto/yso/p205595>	Casablanca
<http://www.yso.fi/onto/yso/p18990>	retail chains
<http://www.yso.fi/onto/yso/p7282>	embryogenesis
<http://www.yso.fi/onto/yso/p1614>	corrosion tests
<http://www.yso.fi/onto/yso/p1738>	pharmacology
<http://www.yso.fi/onto/yso/p94497>	Ylistaro
<http://www.yso.fi/onto/yso/p16962>	Neptune (planets)
<http://www.yso.fi/onto/yso/p27169>	bile ducts
<http://www.yso.fi/onto/yso/p6319>	Flemings
<http://www.yso.fi/onto/yso/p209894>	Ukiah
<http://www.yso.fi/onto/yso/p19698>	conflict of laws
<http://www.yso.fi/onto/yso/p24122>	dynamic nature
